cNoSc,Customer,Item,TglProduksiTerakhir,StokAwalPc,StokAwalKg,StokAkhirPc,StokAkhirKg,Keterangan
2607/00381,NIPSEA PAINT AND CHEMICALS. PT,PN183 ELASTEX WATERPROOF 3IN1 ACCENT# 4KG,2026-07-18,920,215.1236,920,215.1236,TUNGGU JADWAL
2607/00391,"INTIDRAGON SURYATAMA, PT",CARTON BOX ATT PHL 34/37 37X34X25.5,2026-07-22,220,134.277,220,134.277,
2607/00401,YOULIAN TAPE INDONESIA,SEVEN STAR 48,2026-07-31,560,277.6368,0,0.0,TUNGGU JADWAL
2607/00406,KEMBANG JAYA CV,FAZZA ISI 40 X 220 ML NEW,2026-07-31,14560,2788.0944,1660,317.8734,AMBIL SENDIRI
2607/00408,"MAS RIZAL,CV",BALL SW,2026-08-01,0,0.0,357,902.82801,
2607/00409,"MAS RIZAL,CV",OUTER BOX UK 768 X 484 X 1246 MM,2026-08-01,0,0.0,306,997.88436,
2607/00420,"TIRTA FRESINDO JAYA, PT",2051502103 CRT B1 TPH 24 X 350 ML P1 BIRU,2026-07-30,275,77.29425,275,77.29425,
2607/00431,"ANEKA RUPA TERA, PT",DUS POLOS (UK. 330 X 320 X 190),2026-07-18,200,61.332,200,61.332,KURANG KIRIM
2607/00445,"USAHA SEKAWAN FARMASI INDONESIA, PT",DOS BEDAK SALICYL 50 GR,2026-07-30,340,62.2336,340,62.2336,
2607/00448,SINAR KARYA DUTA ABADI,KARTON BOX DIGI UNO NOUVAFIMA EXPORT 50 X 50,2026-07-31,22050,3422.16,22050,3422.16,
2607/00449,"SINAR KARYA DUTA ABADI, PT",KARTON BOX UNO EXPORT 50 X 50 R BIII,2026-07-31,2450,407.7535,0,0.0,
2607/00462,AIDA ARTAN,BOX SNACK BABY BOSS 20 G,2026-08-01,0,0.0,9500,3730.175,
2607/00470,"SUN PAPER SOURCE, PT",03.06.02.0168 CB SF MONTISS 200 S 2IN1 (SUPERBRAND),2026-07-20,130,117.3653,130,117.3653,
2607/00485,CENTRALPERTIWI BAHARI . PT,MC BLANK BROWN,2026-07-31,3000,2623.02,0,0.0,
2607/00487,"SUN PAPER SOURCE, PT",03.06.02.0175 CB SOFTPACK FAVOUR MOLANG 200 S R1,2026-07-30,1620,1588.6368,0,0.0,LEBIH PRODUKSI
2607/00489,"MUTU GADING TEKSTIL, PT",JUMBO BOX BOTTOM Y (DW) BK,2026-07-30,301,2476.04406,301,2476.04406,TIDAK SET
2607/00490,"MUTU GADING TEKSTIL, PT",JUMBO BOX TOP Y (DW) BT,2026-07-21,159,796.71243,159,796.71243,TUNGGU JADWAL
2607/00514,"ASIA PACIFIC FIBERS, PT","BOX BOTTOM JUMBO DTY 1000 ""CARL WEISKE""",2026-08-01,0,0.0,350,3185.8085,
2607/00517,"ASIA PACIFIC FIBERS, PT",LAYER JUMBO DTY 1 LAPIS DOUBLE WALL CW,2026-08-01,0,0.0,1000,1593.57,KURANG KIRIM
2607/00567,"DUA KELINCI, PT",(4071540) BOX SUKRO ORIGINAL 95G,2026-07-31,20,6.4322,0,0.0,
2607/00582,"MEGASURYA MAS, PT",BOX LERVIA 80 GR - REVAMP - ALL VARIANT LOKAL 18-03-26,2026-07-30,117,25.88157,117,25.88157,
2607/00585,"CITRA ANEKA PANGAN, CV",BOX LOVELY,2026-07-21,100,58.663,100,58.663,
2607/00589,"DUA KELINCI, PT",(4070309) BOX DUA KELINCI 370G LOGO HALAL HITAM,2026-07-22,890,639.999,890,639.999,TUNGGU JADWAL
2607/00590,KHOLIFATUN NURJANNAH,AMDK AL - ISHLAHIYYAH 220 ML X 48,2026-08-01,0,0.0,5120,1123.6864,
2607/00593,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK EXTRA SPICY 28 GR BULKY WITH GACC EXPORT NANJING CHINA KTN/NJSPC-BULKY/E/80/02/NANJI,2026-08-01,0,0.0,560,190.1984,KURANG KIRIM
2607/00594,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK SPICY BIGBOX 14 G XIAMEN TYSEN CHINA KTN/XMN SCY/E/180/07/XIAMENCHINA,2026-07-31,10509,4700.15025,10509,4700.15025,
2607/00595,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK 14 GR SPICY RENTENG WITH CIDN EXPORT XIAMEN CHINA KTN/NJSCY-RENTENG120/E/120/05/XIAM,2026-08-02,0,0.0,3040,967.9056,KURANG KIRIM
2607/00621,"SIANTAR TOP TBK, PT",DUS TWISTKO JAGUNG BAKAR PREMIUM 70 GR KTN/TJB70/20/00,2026-08-01,500,196.135,1780,698.2406,LEBIH PRODUKSI
2607/00625,"SIANTAR TOP TBK, PT",DUS FRENCH FRIES CBP 2000 15 GR IBT 60 PCS KTN/NEW-FF/IBT/60/00,2026-08-01,0,0.0,1360,422.3072,LEBIH PRODUKSI
2607/00636,"SIANTAR TOP TBK, PT",DUS TIC-TIC BAWANG CBP 2000 LOKAL 60 PCS KTN/TIC-BWG2000_NEW/L/60/00,2026-07-31,620,230.7516,620,230.7516,KURANG KIRIM
2607/00652,PANGAN SUKSES GEMILANG. PT,FILLET PATIN SUPER TINTA BIRU,2026-07-25,500,176.13,500,176.13,
2607/00653,PANGAN SUKSES GEMILANG. PT,FILLET PATIN SUPER TINTA BIRU (PSG1),2026-07-24,520,183.1752,520,183.1752,
2607/00661,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK EXTRA SPICY 28G MT SHINHER KTN/SPCTWN-MT/E/24X6/01/SHINGHERTAIWAN,2026-07-30,1580,1030.4128,1580,1030.4128,LEBIH PRODUKSI
2607/00663,MANUSIA WANGI SEPANJANG HARI.CV,MANDALIKA FULL BLACK,2026-07-30,340,53.5534,340,53.5534,
2607/00665,"INTIDRAGON SURYATAMA, PT",DOS PROATT CFK-LC 39/44 665,2026-07-19,464,596.4024,464,596.4024,LEBIH PRODUKSI
2607/00666,"INTIDRAGON SURYATAMA, PT",DOS PROATT CFK-LC 39/43,2026-07-20,1066,1324.51566,1066,1324.51566,LEBIH PRODUKSI
2607/00674,"CHAROEN POKPHAND JAYA FARM,PT",BOX DOC HY LINE,2026-07-26,125,65.94375,125,65.94375,LEBIH PRODUKSI
2607/00701,"CAHAYA BINTANG PLASTINDO,PT",DUS PACK OTC LUXURY 3P PACK B,2026-08-02,0,0.0,1024,2328.33024,
2607/00706,"MEGASURYA MAS, PT",BOX POUCH LIQUID SOAP 85GR - MEDICARE ALL VARIANT 16-03-26,2026-07-31,13200,3335.244,13200,3335.244,
2607/00709,"MASPION, PT",BOX TUMBU MMC 1291,2026-07-30,3120,1173.3384,3120,1173.3384,
2607/00719,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK SMOKED BEEF 14 GR 180 NON RENTENG XIAMEN CHINA KTN/GMZ-SB/RTG/E/180/00/XIAMEN CHINA,2026-08-01,80,36.564,5231,2390.82855,
2607/00728,"KOBE BOGA UTAMA, PT",2100002303 - KARTON BONCRISPY UBI BALADO 20G X 60PCS,2026-07-31,5175,2811.5775,5175,2811.5775,
2607/00729,"KOBE BOGA UTAMA, PT",2100002300 - KARTON BONCABE CAKAR NAGA LV15 24 X 60 G,2026-08-02,0,0.0,4700,1809.688,
2607/00743,"ELODA MITRA, PT",5553102020 BOX ROTI 108,2026-07-29,3776,2603.24992,3776,2603.24992,LEBIH PRODUKSI
2607/00768,"SUN PAPER SOURCE, PT",03.06.02.0090 CB SOFTPACK INDO MARET 180 S,2026-07-30,40,35.4268,40,35.4268,
2607/00770,"MANNASATRIA KUSUMAJAYA PERKASA, PT.",KARTON SIIPLAH 120 ML,2026-07-28,1680,221.088,1680,221.088,
2607/00774,MITRA ALAM SEGAR,23000735 - KARDUS TEH RIO GULA BATU 180 ML,2026-08-02,5100,903.21,29675,5255.4425,
2607/00777,PERSEROAN TERBATAS SINOSURA FAT CHEMISTRY INDONESI,BOX SHORTENING (PRINTING),2026-07-23,180,115.3512,180,115.3512,
2607/00779,"ASERA TIRTA POSIDONIA , PT",BOX AMDK ASERA 48 X 220 ML,2026-07-22,2310,542.9424,2310,542.9424,SISA CONTAINER
2607/00798,SUMBER SARI PANGAN,MAX ROLL KALENG ISI 6,2026-07-29,840,239.0808,840,239.0808,
2607/00808,"SIANTAR TOP TBK, PT",DUS GORIORIO POUCH VANILA COKLAT TIRAMISU MIX ISI 16 PCS KTN/GRRP/L/16/01,2026-07-26,137,41.48771,137,41.48771,
2607/00821,SAYYID HAMID,ESHA QUEEN IMPERIAL MINI CABINET SUSUN 3,2026-07-30,222,229.70784,222,229.70784,
2607/00824,"ENDRIAN RUSLIM,",FROZEN FISH POLOS K110 / M110 / K110,2026-07-24,1500,386.16,1500,386.16,
2607/00826,"ANUGERAH MULIA BOX,CV",FROZEN FISH POLOS K200 / M125 / K200,2026-07-24,3700,1468.974,3700,1468.974,TUNGGU JADWAL
2607/00827,PERSEROAN TERBATAS YOU WANG YOU,BOX MOOH ORIGINAL 220 ML,2026-07-31,4740,911.1702,0,0.0,
2607/00829,PERSEROAN TERBATAS YOU WANG YOU,BOX MOOH MANGGA 220 ML,2026-08-01,5140,988.0622,0,0.0,
2607/00830,PERSEROAN TERBATAS YOU WANG YOU,BOX MOOH BLUEBARRY 220 ML,2026-07-31,8160,1568.5968,0,0.0,TUNGGU JADWAL
2607/00833,"BLUE OCEAN FOODS INDONESIA , PT",KARTON NOSH SARDINES IN SOYBEAN OIL WITH CHILLI,2026-07-22,100,19.048,100,19.048,TUNGGU JADWAL
2607/00844,"MEGASURYA MAS, PT",BOX REFILL MINYAK 2 LTR MSM 2018 - SUNCO POUCH 2 L 04-05-23,2026-08-02,-7210,-3371.4681,31770,14855.9697,
2607/00848,DWI SUPRIANTO/PRIHANDIKA BAGAS PRATAMA/,OUT WAX - FROZEN FISH 110 / 110 / 110,2026-07-27,2080,535.4752,2080,535.4752,TUNGGU JADWAL
2607/00853,"ANUGRAH MAJU KEMASINDO, PT",BOX PECI NASIONAL,2026-07-30,3500,1102.885,3500,1102.885,
2607/00866,"INTIDRAGON SURYATAMA, PT",DOS PROATT CFK-LHC 39/42 67 X 43.5 X 30,2026-07-24,123,141.21876,123,141.21876,
2607/00867,"INTIDRAGON SURYATAMA, PT",DOS PROATT CFK LC 41/44 66.5X47.5X32.5 CM,2026-07-24,290,372.7515,290,372.7515,
2607/00891,PERSEROAN TERBATAS - BADAN HALIMJAYA SAKTI,BOX ANDO THUNDER 02,2026-07-25,450,305.0235,450,305.0235,
2607/00896,"WILMAR NABATI INDONESIA, PT",CARTON TULIP 1 KG X 10 BAG,2026-07-31,11000,4167.24,11000,4167.24,
2607/00903,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD141) CART 5S RM TS GR 120 X 60 GRADE A,2026-07-30,975,574.977,975,574.977,
2607/00907,GAJAH MITRA CEMERLANG,OUTER RICE BUCKET 6 LT,2026-07-31,510,568.7418,0,0.0,
2607/00908,GAJAH MITRA CEMERLANG,INNER RICE BUCKET 6 LT,2026-07-28,5040,1079.6184,0,0.0,
2607/00924,"BONDVAST INDO SUKSES, PT",P-NY-16201011-ID SERAT LAYER (GARIS TEKAN),2026-07-30,520,485.4512,520,485.4512,
2607/00928,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK AYAM KECAP CBP 1000 80 RTG LOKAL KTN/GEN1-RTG/L/80/01,2026-07-31,26040,4853.3352,840,156.5592,KURANG KIRIM
2607/00929,"SIANTAR TOP TBK, PT",DUS FRENCH FRIES PREMIUM 5000 LOGO HALAL KTN/FFP5/L/20/02/HCO,2026-08-01,14060,4111.144,17640,5157.936,LEBIH PRODUKSI
2607/00930,"SIANTAR TOP TBK, PT",DUS FRENCH FRIES CBP 2000 15 GR LOKAL 60 PCS KTN/NEW-FF/L/60/00,2026-07-31,24620,7951.7676,860,277.7628,LEBIH PRODUKSI
2607/00932,"SIANTAR TOP TBK, PT",DUS DEO GORIORIO CBP 500 CENTANG ISI 240 PCS KTN/DGR500-NEW/L/240/00,2026-07-31,19735,3748.26855,19735,3748.26855,
2607/00933,"SIANTAR TOP TBK, PT",DUS DEO GO POTATO CBP 500 ISI 240 PCS ORIGINAL LOKAL KTN/NEW-DGP/L/240/00,2026-08-01,0,0.0,20480,3623.1168,
2607/00934,"SIANTAR TOP TBK, PT",DUS BOYKI MIE GORENG CBP 1000 LOKAL 80 RTG KTN/BYK1000-MG/RTG/L/80/01,2026-08-02,0,0.0,9780,1822.7964,LEBIH PRODUKSI
2607/00937,H. ASNAWING,OUT WAX - FROZEN FISH BIRU,2026-07-28,2280,666.9912,2280,666.9912,SISA CONTAINER
2607/00940,"ALBEXON JAYA SUKSES MAKMUR, CV",TOPLES JD 3/4 DIAMOND,2026-07-28,3100,913.477,3100,913.477,
2607/00941,"ANUGERAH MULIA BOX,CV",POLOS 30 LBS,2026-07-29,2200,1577.51,2200,1577.51,
2607/00949,"WILMAR NABATI INDONESIA, PT",CARTON FORTUNE POUCH 6 X 2 L,2026-07-29,2880,1242.288,2880,1242.288,
2607/00953,PERSEROAN TERBATAS - BADAN KARUNIA INDAH ABADI,23000125 - KARTON MIE SEDAAP ST (ND0724),2026-07-24,7222,1490.18748,7222,1490.18748,SISA CONTAINER
2607/00965,PERSEROAN TERBATAS - BADAN KARUNIA INDAH ABADI,23000124 - KARTON MIE SEDAAP GR (ND0724),2026-08-02,13727,3005.25211,51602,11297.22586,SISA CONTAINER
2607/00968,KARUNIA INDAH SEGAR,43000081 - KARDUS TEH RIO GULA BATU 180 ML 09.23,2026-07-30,9950,1738.5635,9950,1738.5635,
2607/00978,KERAMIK DIAMOND INDUSTRIES,40 X 40 STARGRES KW 1,2026-07-31,4200,484.386,4200,484.386,
2607/00990,"MARIMAS PUTERA KENCANA, PT",(KTH72-01) KARTON MARITEH R72,2026-07-31,7000,2278.08,0,0.0,
2607/01000,"ANUGERAH MULIA BOX,CV",FROZEN NFE K125 / M125 / K110,2026-08-01,11200,3159.408,14500,4090.305,
2607/01001,LA ODE ASMIN,LAYUR POLOS COKLAT,2026-08-01,1940,829.9708,0,0.0,
2607/01006,"GUNUNG AGUNG SENTOSA, PT",SHEET UK 720 X 330 MM,2026-07-29,10400,1012.128,0,0.0,
2607/01011,"DUA KELINCI, PT",(4072936) BOX TOS 20G OPT 3 VAR,2026-08-02,260,121.1548,760,354.1448,TUNGGU JADWAL
2607/01021,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK 16 GR CHICKEN SMALL BOX WITH CIDN EXPORT XIAMEN CHINA KTN/HCF-SB/E/12/07/HCFCHINA,2026-07-28,1780,748.846,1780,748.846,LEBIH PRODUKSI
2607/01027,"ENVIRONEER, PT",UNITOR 4L + 2 LYR UK 290 X 290 X 110 MM,2026-07-26,125,63.47,125,63.47,
2607/01029,"CAHAYA BUKIT SUKA, PT",BHUMI ALAMI 16,2026-07-31,3150,3549.1365,0,0.0,
2607/01058,"SINAR KEMASAN TERANG, PT","OB 13 KG 3"" X 10 (WT DIKOSONGI)",2026-07-31,5900,1668.461,2000,565.58,
2607/01071,FELINE VICTORIA,POLOS PUTIH DW 40 X 27 X 16,2026-07-27,1160,363.0104,1160,363.0104,TUNGGU JADWAL
2607/01074,"INDOFLORA CIPTA MANDIRI, PT",KARTON LUMBA-LUMBA XTRA,2026-08-01,0,0.0,5000,1091.1,
2607/01075,"AIR GANGGA DEWATA ALAMI, PT",ECOQUA 220 ML NEW DESIGN,2026-07-29,1180,255.3166,1180,255.3166,
2607/01083,"MEGASURYA MAS, PT",BOX HARMONY 70 GR LOKAL REVAMP - NS (2601) - GRAPE SPARKLING 16-03-26,2026-08-01,8700,1711.116,23880,4696.7184,
2607/01084,"MEGASURYA MAS, PT",BOX HARMONY 70 GR LOKAL REVAMP - NS (2601) - MELON HONEYDEW 16-03-26,2026-08-01,0,0.0,23480,4618.0464,
2607/01088,"INDO CERIA PLASTIK DAN PRINTING, PT",K.BOX SPLASH 240 ML,2026-07-30,2260,2248.3836,450,447.687,
2607/01094,"SUN PAPER SOURCE, PT",03.06.02.0196 CB SOFTPACK SIERRA 250 S 4IN1,2026-08-01,0,0.0,5050,4520.4065,
2607/01098,DIA LAXMI,AMDK ABI 220 ML,2026-07-31,0,0.0,900,195.957,
2607/01099,"ANEKA RUPA TERA, PT",DUS ART UK. 370 X 370 X 265,2026-08-01,1420,610.9124,0,0.0,
2607/01141,SRIANI,DOS HELLO TANGGUNG,2026-07-30,3150,545.7375,3150,545.7375,
2607/01142,"ALP PETRO INDUSTRY, PT",(RMEA-309-PK0014) CARTON BOX KRAFT EURO 5L X 4 BOTOL,2026-08-01,1100,849.255,3140,2424.237,TUNGGU JADWAL
2607/01203,"SIANTAR TOP TBK, PT",DUS GORIORIO VANILA COKLAT TIRAMISU MIX 23 GR ISI 120 PCS KTN/GRR-DPX/HCO/L/12/01,2026-08-01,0,0.0,5100,979.863,
2607/01204,"SIANTAR TOP TBK, PT",DUS SPIX TIC TIC AP DAN SPICY CTG ISI 88 PROMO KTN/TTM- SPC/L/88/00,2026-08-01,1990,356.3891,8290,1484.6561,
2607/01205,"SIANTAR TOP TBK, PT",DUS DEO GO! CHOCOLATE LOGO HALAL KTN/DGC/L/192/03,2026-08-01,0,0.0,14,1.90148,
2607/01206,"SIANTAR TOP TBK, PT",DUS BOYKI MIE GORENG CBP 1000 IBT 80 RTG KTN/BYK1000-MG/RTG/IBT/80/01,2026-08-02,1220,227.3836,5060,943.0828,
2607/01228,"SINAR KEMASAN TERANG, PT",MB GULA MERAH GUDANG KELAPA,2026-07-31,4000,1535.16,2000,767.58,
2607/01248,"KARYA INDAH MULTIGUNA, PT",897765 RSC BYGN METAL 60 X 10,2026-08-02,0,0.0,4200,2209.83,
2607/01260,"PURA BARUTAMA, PT",SARIWANGI TB 50,2026-07-31,2617,885.88067,0,0.0,LEBIH PRODUKSI
2607/01290,SUYATNO,POLOS COKLAT UK LUAR 510 X 310 X 145 MM,2026-08-01,7440,2844.1632,0,0.0,TUNGGU JADWAL
2607/01297,"DUA KELINCI, PT",(4070257) BOX DUA KELINCI 60G LOGO HALAL HITAM,2026-08-01,0,0.0,6080,4470.624,
2607/01298,"DUA KELINCI, PT",(4075705) BOX RONI 24G/26G OPTION,2026-08-02,0,0.0,980,434.6202,
