SPS/2605/00183-B03,54390.4450000
SPS/2605/00907-B01,33471.9000000
SPS/2605/00252-B01,27350.5089000
SPS/2605/00946-B04,23544.3446000
SPS/2606/00277-B01,21668.1850000
SPS/2605/00255-B05,21351.6429000
SPS/2605/00838-B01,21061.1310000
SPS/2605/00660-B02,20787.4800000
SPS/2604/01398-S01,20018.8032000
SPS/2605/00519-B09,19513.7963000
SPS/2605/00746-B01,19388.8806000
SPS/2604/01056-B03,18253.0008000
SPS/2605/00183-B06,15670.9340000
SPS/2605/00183-B02,15155.8820000
SPS/2604/01220-B14,14534.2838000
SPS/2604/01056-B02,14177.0880000
SPS/2604/01188-B06,14106.0150000
SPS/2605/00979-B01,14025.3930000
SPS/2605/00911-B01,13838.1813000
SPS/2605/00980-B01,13807.5637500
SPS/2605/00016-B11,12972.2190000
SPS/2604/00105-B04,11645.4259200
SPS/2606/00117-S01,11414.1094000
SPS/2603/00599-B01,11225.5502400
SPS/2605/00067-B10,10825.8150000
SPS/2606/00122-B01,10729.2240000
SPS/2605/00198-B01,10592.8000000
SPS/2606/00294-B01,10293.8352000
SPS/2605/01125-B01,10254.5046000
SPS/2603/00596-B01,10239.9440000
SPS/2603/00162-B05,10138.8940000
SPS/2605/01179-B01,10086.4992000
SPS/2605/00876-B01,9942.5535000
SPS/2604/00441-B04,9932.0352000
SPS/2606/00225-B01,9916.8543000
SPS/2605/00252-B06,9422.3415000
SPS/2604/01454-B01,9348.9000000
SPS/2605/01138-B01,9251.6550000
SPS/2606/00196-B01,9151.2740000
SPS/2606/00116-S01,9021.0798000
SPS/2605/00252-B05,8907.9705000
SPS/2606/00005-B01,8881.6800000
SPS/2605/01097-B01,8873.4400000
SPS/2605/01127-S01,8829.4848000
SPS/2605/01098-B01,8792.9350000
SPS/2605/01022-B01,8632.1465400
SPS/2604/01258-B08,8562.8235000
SPS/2606/00276-B01,8520.7500000
SPS/2606/00195-B01,8491.8780000
SPS/2605/00956-B01,8228.5720000
SPS/2604/00105-B27,8152.7040000
SPS/2605/00485-B01,8144.9522000
SPS/2605/00016-B08,7764.3384000
SPS/2605/00255-B02,7759.1535000
SPS/2606/00374-B01,7744.3688000
SPS/2606/00315-B01,7723.2000000
SPS/2606/00383-B01,7692.3960000
SPS/2606/00522-B01,7577.1840000
SPS/2605/00917-S01,7569.1008000
SPS/2605/01159-B01,7380.5160000
SPS/2605/00053-B01,7358.9608000
SPS/2604/01220-B01,7349.1336000
SPS/2606/00248-B01,7339.5630000
SPS/2606/00305-B01,7292.0925000
SPS/2605/00472-L03,7257.6000000
SPS/2606/00025-B01,7039.3708000
SPS/2605/01124-B01,7039.1260800
SPS/2604/01342-S03,6936.6280000
SPS/2605/00016-B07,6860.2716000
SPS/2604/01261-B03,6775.6375000
SPS/2605/00136-B01,6724.7796000
SPS/2606/00114-B01,6715.5424000
SPS/2604/01465-B05,6687.5060000
SPS/2606/00282-B01,6593.4888000
SPS/2605/01182-B02,6578.8150000
SPS/2605/00615-B02,6562.9845000
SPS/2604/01217-B01,6553.1208000
SPS/2606/00264-B01,6382.7664000
SPS/2604/01465-B04,6295.8210000
SPS/2606/00041-B01,6216.6104000
SPS/2605/00255-B06,6203.0241000
SPS/2606/00353-B01,6139.2448000
SPS/2603/00876-B05,6101.2116000
SPS/2605/00519-B10,6047.1098000
SPS/2604/01218-B03,5999.5416000
SPS/2606/00347-B01,5995.3950000
SPS/2604/01465-B01,5994.8420000
SPS/2605/00252-B03,5976.0558000
SPS/2606/00024-B01,5969.8080000
SPS/2605/01172-S01,5953.9651500
SPS/2604/00258-B01,5933.0772000
SPS/2605/00883-TB01,5869.4000000
SPS/2606/00237-B01,5751.4800000
SPS/2605/00957-B03,5739.0000000
SPS/2604/01220-B12,5712.6462000
SPS/2605/00630-B01,5682.6000000
SPS/2604/01261-B01,5639.6370000
SPS/2606/00297-B01,5569.3360000
SPS/2604/00106-B03,5558.6100000
SPS/2604/01093-B01,5529.7074000
SPS/2605/00067-B19,5511.3240000
SPS/2605/00838-B02,5511.3240000
SPS/2605/00838-B06,5511.3240000
SPS/2605/00838-B07,5511.3240000
SPS/2604/01149-B02,5488.7397500
SPS/2605/00559-B01,5473.8500000
SPS/2606/00021-S01,5464.8508000
SPS/2606/00277-B04,5441.3975000
SPS/2604/01188-B11,5405.9775000
SPS/2605/00252-B02,5335.4301000
SPS/2606/00076-B01,5334.1992000
SPS/2606/00026-B01,5325.7392000
SPS/2605/00255-B01,5291.6997000
SPS/2605/00911-B05,5276.2580900
SPS/2605/01183-B01,5270.3910000
SPS/2605/00707-B01,5256.8424000
SPS/2606/00117-S03,5254.3094000
SPS/2605/01177-B01,5170.2360000
SPS/2605/00183-B01,5150.5200000
SPS/2604/01055-B02,5139.1944000
SPS/2606/00061-B01,5123.1360000
SPS/2606/00147-S01,5116.2098400
SPS/2604/01216-B01,5088.1740000
SPS/2605/00016-B06,5063.5338000
SPS/2605/01099-B01,5045.8320000
SPS/2606/00379-S01,5045.5410000
SPS/2605/00875-B01,5045.1750000
SPS/2605/00774-B01,4991.7384000
SPS/2605/00183-B04,4973.5901000
SPS/2605/01110-B01,4931.3430000
SPS/2603/00109-B01,4920.8220000
